2023-01-20T10:29:32+00:00 INFO Start-Cartflows_Admin_Report_Emails::send_weekly_report_email
2023-01-20T10:29:32+00:00 INFO Send weekly emails to walid786jhugroo@gmail.com
2023-01-20T10:29:32+00:00 INFO Total Revenue: 0.00
2023-01-20T10:29:54+00:00 INFO Is weekly report enabled: enable
2023-01-20T10:29:54+00:00 INFO Is weekly report enabled: enable
2023-01-20T10:29:55+00:00 INFO Is weekly report enabled: enable
2023-01-20T10:30:06+00:00 INFO Is weekly report enabled: enable
2023-01-20T10:30:07+00:00 INFO Is weekly report enabled: enable
2023-01-20T10:30:14+00:00 INFO Is weekly report enabled: enable
2023-01-20T10:57:48+00:00 INFO Is weekly report enabled: enable
2023-01-20T10:57:52+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:44:25+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:44:26+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:44:30+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:46:31+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:47:31+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:48:32+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:50:33+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:52:34+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:54:35+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:57:15+00:00 INFO Is weekly report enabled: enable
2023-01-20T13:58:37+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:00:38+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:02:39+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:04:40+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:06:48+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:07:20+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:07:26+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:09:28+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:23:20+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:24:22+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:25:22+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:26:22+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:27:22+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:29:21+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:32:45+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:33:02+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:33:26+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:34:05+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:34:13+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:34:34+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:34:43+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:34:48+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:34:56+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:35:02+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:35:12+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:35:15+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:35:17+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:35:43+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:35:48+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:35:54+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:36:57+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:37:01+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:37:24+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:37:26+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:38:02+00:00 INFO Is weekly report enabled: enable
2023-01-20T14:38:03+00:00 INFO Is weekly report enabled: enable
